date,killed_in_lebanon,palestine_children_tfp,palestine_adults_tfp,israel_children,israel_adults,palestine_total,palestine_children_adj,palestine_contested,palestine_adults_adj
2024-04-29,447,14873,19615,24,1505,34488,10689.633123689728,4183.366876310272,19615
2024-04-30,447,14873,19662,24,1505,34535,10704.200879338458,4168.7991206615425,19662
2024-05-01,448,14873,19695,24,1507,34568,10714.429303517354,4158.570696482646,19695
2024-05-02,448,14873,19723,24,1507,34596,10723.107966457022,4149.8920335429775,19723
2024-05-03,448,14944,19678,24,1507,34622,10731.166724901,4212.833275098999,19678
2024-05-04,448,14944,19710,24,1507,34654,10741.085196832051,4202.914803167949,19710
2024-05-05,452,14944,19739,24,1507,34683,10750.073812019566,4193.926187980434,19739
2024-05-06,452,14944,19791,24,1511,34735,10766.191328907524,4177.808671092476,19791
2024-05-07,452,14944,19845,24,1511,34789,10782.928750291172,4161.071249708828,19845
2024-05-08,457,15002,19842,24,1511,34844,10799.976123922665,4202.023876077335,19842
2024-05-09,461,15002,19902,24,1511,34904,10818.573258793384,4183.4267412066165,19902
2024-05-10,466,15002,19941,24,1511,34943,10830.661396459353,4171.3386035406475,19941
2024-05-11,467,15002,19969,24,1511,34971,10839.34005939902,4162.659940600979,19969
2024-05-12,467,15002,20032,24,1511,35034,10858.867051013278,4143.132948986722,20032
2024-05-13,467,15103,19988,24,1517,35091,10876.53432914046,4226.465670859539,19988
2024-05-14,470,15103,20070,24,1517,35173,10901.950413463777,4201.049586536223,20070
2024-05-15,471,15103,20130,24,1518,35233,10920.547548334498,4182.452451665502,20130
2024-05-16,473,15103,20169,24,1518,35272,10932.635686000465,4170.364313999535,20169
2024-05-17,480,15103,20200,24,1524,35303,10942.244205683672,4160.755794316328,20200
2024-05-18,480,15162,20224,24,1524,35386,10967.970242254833,4194.029757745167,20224
2024-05-19,482,15162,20294,24,1524,35456,10989.666899604006,4172.333100395994,20294
2024-05-20,487,15162,20400,24,1527,35562,11022.52183787561,4139.478162124389,20400
2024-05-21,488,15162,20485,24,1527,35647,11048.867778942464,4113.132221057536,20485
2024-05-22,490,15162,20547,24,1527,35709,11068.084818308875,4093.9151816911253,20547
2024-05-23,491,15239,20561,24,1527,35800,11096.2904728628,4142.7095271372,20561
2024-05-24,493,15239,20618,24,1527,35857,11113.957750989983,4125.042249010017,20618
2024-05-25,495,15239,20664,24,1527,35903,11128.215554390868,4110.784445609132,20664
